name	replicate	type	bam
KLF16	KLF16_0_28_c7	28_c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_c7_filtered.bam
SAV1	SAV1_0_17_g3	17_g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_g3_filtered.bam
SAV1	SAV1_0_17_g2	17_g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_g2_filtered.bam
SAV1	SAV1_0_17_c1	17_c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_c1_filtered.bam
KLF16	KLF16_0_28_g3	28_g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/KLF16_0_28_g3_filtered.bam
SAV1	SAV1_0_17_g4	17_g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_g4_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c1	29_c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c1_filtered.bam
SAV1	SAV1_0_17_g1	17_g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SAV1_0_17_g1_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c3	29_c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c3_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c2	29_c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c2_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c4	29_c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c4_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c6	29_c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c6_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c5	29_c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c5_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c7	29_c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c7_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_g3	29_g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_g3_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_c8	29_c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_c8_filtered.bam
STAT6	STAT6_0_26_c1	26_c1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c1_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_g1	29_g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_g1_filtered.bam
STAT6	STAT6_0_26_c2	26_c2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c2_filtered.bam
STAT6	STAT6_0_26_c4	26_c4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c4_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_g2	29_g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_g2_filtered.bam
STAT6	STAT6_0_26_c8	26_c8	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c8_filtered.bam
STAT6	STAT6_0_26_c5	26_c5	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c5_filtered.bam
STAT6	STAT6_0_26_g1	26_g1	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_g1_filtered.bam
STAT6	STAT6_0_26_g2	26_g2	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_g2_filtered.bam
STAT6	STAT6_0_26_c6	26_c6	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c6_filtered.bam
STAT6	STAT6_0_26_g3	26_g3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_g3_filtered.bam
SLC9A3R1	SLC9A3R1_0_29_g4	29_g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/SLC9A3R1_0_29_g4_filtered.bam
STAT6	STAT6_0_26_g4	26_g4	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_g4_filtered.bam
STAT6	STAT6_0_26_c3	26_c3	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c3_filtered.bam
STAT6	STAT6_0_26_c7	26_c7	/lustre/scratch123/hgi/mdt1/teams/soranzo/projects/genIE_analysis/round2_exp0/BWA_SAMCLIP_10/FLASH_FILTERED/STAT6_0_26_c7_filtered.bam
